127.0.0.1 - - [14/Aug/2024:19:40:39 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [14/Aug/2024:19:40:41 -0300] "GET /aulaEly/formularios/formulario1.jsp HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [14/Aug/2024:19:40:41 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [14/Aug/2024:19:41:39 -0300] "GET /aulaEly/formularios/formulario1.jsp HTTP/1.1" 200 406
0:0:0:0:0:0:0:1 - - [14/Aug/2024:19:42:00 -0300] "GET /aulaEly/formularios/formulario1.jsp HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [14/Aug/2024:19:44:16 -0300] "GET /aulaEly/formularios/formulario1.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [14/Aug/2024:19:45:59 -0300] "GET /aulaEly/formularios/formulario1.jsp HTTP/1.1" 200 524
0:0:0:0:0:0:0:1 - - [14/Aug/2024:19:50:40 -0300] "GET /aulaEly/formularios/formulario1.jsp HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [14/Aug/2024:19:51:01 -0300] "POST /aulaEly/formularios/resposta1.jsp HTTP/1.1" 500 3112
0:0:0:0:0:0:0:1 - - [14/Aug/2024:19:51:37 -0300] "POST /aulaEly/formularios/resposta1.jsp HTTP/1.1" 500 3112
0:0:0:0:0:0:0:1 - - [14/Aug/2024:19:52:20 -0300] "GET /aulaEly/formularios/formulario1.jsp HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [14/Aug/2024:19:52:24 -0300] "POST /aulaEly/formularios/resposta1.jsp HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [14/Aug/2024:19:57:07 -0300] "GET /aulaEly/formularios/formulario1.jsp HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [14/Aug/2024:19:57:11 -0300] "POST /aulaEly/formularios/resposta1.jsp HTTP/1.1" 200 528
0:0:0:0:0:0:0:1 - - [14/Aug/2024:20:00:04 -0300] "GET /aulaEly/formularios/resposta1.jsp HTTP/1.1" 500 2514
0:0:0:0:0:0:0:1 - - [14/Aug/2024:20:00:28 -0300] "GET /aulaEly/formularios/formulario1.jsp HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [14/Aug/2024:20:00:36 -0300] "POST /aulaEly/formularios/resposta1.jsp HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [14/Aug/2024:20:16:38 -0300] "GET /aulaEly/formularios/futebolFormulario.jsp HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [14/Aug/2024:20:17:00 -0300] "POST /aulaEly/formularios/resposta1.jsp HTTP/1.1" 500 2514
0:0:0:0:0:0:0:1 - - [14/Aug/2024:20:17:27 -0300] "GET /aulaEly/formularios/futebolFormulario.jsp HTTP/1.1" 200 720
0:0:0:0:0:0:0:1 - - [14/Aug/2024:20:17:33 -0300] "POST /aulaEly/formularios/futebolResposta.jsp HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [14/Aug/2024:20:30:32 -0300] "GET /aulaEly/formularios/produto.jsp HTTP/1.1" 200 734
0:0:0:0:0:0:0:1 - - [14/Aug/2024:20:31:06 -0300] "POST /aulaEly/formularios/produtoResposta.jsp HTTP/1.1" 200 519
