127.0.0.1 - - [11/Sep/2024:20:15:58 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [11/Sep/2024:20:16:28 -0300] "GET /aulaEly/cadastrobean/index.jsp HTTP/1.1" 200 9202
0:0:0:0:0:0:0:1 - - [11/Sep/2024:20:17:25 -0300] "GET /aulaEly/cadastrobean/index.jsp HTTP/1.1" 200 9202
0:0:0:0:0:0:0:1 - - [11/Sep/2024:20:17:33 -0300] "GET /aulaEly/cadastrobean/index.jsp HTTP/1.1" 200 9202
0:0:0:0:0:0:0:1 - - [11/Sep/2024:20:17:33 -0300] "GET /aulaEly/cadastrobean/index.jsp HTTP/1.1" 200 9202
0:0:0:0:0:0:0:1 - - [11/Sep/2024:20:17:34 -0300] "GET /aulaEly/cadastrobean/index.jsp HTTP/1.1" 200 9202
0:0:0:0:0:0:0:1 - - [11/Sep/2024:20:17:34 -0300] "GET /aulaEly/cadastrobean/index.jsp HTTP/1.1" 200 9202
0:0:0:0:0:0:0:1 - - [11/Sep/2024:20:17:35 -0300] "GET /aulaEly/cadastrobean/index.jsp HTTP/1.1" 200 9202
0:0:0:0:0:0:0:1 - - [11/Sep/2024:20:17:36 -0300] "GET /aulaEly/cadastrobean/index.jsp HTTP/1.1" 200 9202
0:0:0:0:0:0:0:1 - - [11/Sep/2024:20:17:36 -0300] "GET /aulaEly/cadastrobean/index.jsp HTTP/1.1" 200 9202
0:0:0:0:0:0:0:1 - - [11/Sep/2024:20:17:36 -0300] "GET /aulaEly/cadastrobean/index.jsp HTTP/1.1" 200 9202
0:0:0:0:0:0:0:1 - - [11/Sep/2024:20:17:36 -0300] "GET /aulaEly/cadastrobean/index.jsp HTTP/1.1" 200 9202
0:0:0:0:0:0:0:1 - - [11/Sep/2024:20:17:50 -0300] "GET /aulaEly/cadastrobean/index.jsp HTTP/1.1" 200 9202
0:0:0:0:0:0:0:1 - - [11/Sep/2024:20:17:50 -0300] "GET /aulaEly/cadastrobean/index.jsp HTTP/1.1" 200 9202
0:0:0:0:0:0:0:1 - - [11/Sep/2024:20:17:50 -0300] "GET /aulaEly/cadastrobean/index.jsp HTTP/1.1" 200 9202
0:0:0:0:0:0:0:1 - - [11/Sep/2024:20:19:51 -0300] "GET /aulaEly/cadastrobean/index.jsp HTTP/1.1" 200 17961
0:0:0:0:0:0:0:1 - - [11/Sep/2024:20:19:54 -0300] "GET /aulaEly/cadastrobean/formulario.jsp?idpessoa=111 HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [11/Sep/2024:20:19:59 -0300] "GET /aulaEly/cadastrobean/excluir.jsp?idpessoa=112 HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [11/Sep/2024:20:20:11 -0300] "GET /aulaEly/cadastrobean/excluir.jsp?idpessoa=105 HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [11/Sep/2024:20:20:13 -0300] "GET /aulaEly/cadastrobean/excluir.jsp?idpessoa=105 HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [11/Sep/2024:20:20:17 -0300] "GET /aulaEly/cadastrobean/index.jsp HTTP/1.1" 200 17961
